"","tcga.dataset","B-cells","DC","Macrophages","Exhausted CD8","T-cells","CD8 T cells","Neutrophils","Cytotoxic cells","Treg","NK CD56dim cells","Mast cells","NK cells","CD45","Th1 cells"
"TCGA.OR.A5JY.01A.31R.A29S.07","ACC",1.24322446976891,3.35350051952249,7.96512841383308,2.86797926128143,2.17436806108208,1.30916184023019,3.61660970335916,2.74016575164552,2.97630863995618,1.74215724359819,0.745581751943461,0.307576890547596,6.75530021420668,2.45372827237068
"TCGA.OR.A5LP.01A.11R.A29S.07","ACC",1.10010087872261,4.66596980346415,9.21696061196776,5.51879865127271,4.14356557327924,4.71307067644345,3.42639008408348,4.90440269213533,3.35900100928114,1.26320184909742,7.67948685984112,2.0701618921205,8.84909885740162,3.53333907766854
"TCGA.OR.A5J3.01A.11R.A29S.07","ACC",0.642436594515113,3.49113422834525,6.21440384267417,3.74544340451835,0.75742711042816,1.39590703558091,2.15288715834956,3.15063870053518,3.22105731083978,2.30631180162998,3.20606692117333,0,4.78987007156761,1.75274859140713
"TCGA.OR.A5KW.01A.11R.A29S.07","ACC",0.689374388155076,3.01178501038931,6.10007650874627,3.03633505042305,1.42921595862073,1.63859306869033,1.61868015282592,2.89790698096549,3.10222139389067,2.07956213695551,1.99550894574714,0.415286900613451,4.53239177303896,1.05665288703761
"TCGA.PK.A5HB.01A.11R.A29S.07","ACC",0.429270936431011,2.73719819524658,7.01189442925147,2.07748974638686,0.352052986224007,1.78759629706678,2.37601313718586,2.05838005515808,1.93311936443181,0,2.43921023884131,0,4.95755248686935,0.849518948161842
"TCGA.OR.A5JK.01A.11R.A29S.07","ACC",4.63067099066021,4.29226558542331,8.62801413104355,6.70342408304059,6.91592826218006,9.20460890670413,3.5231544707552,6.88880692962597,5.09543500183303,4.47824279006074,2.1513500863373,4.12506327467253,9.72997330261602,5.01229154932815
"TCGA.OR.A5JD.01A.11R.A29S.07","ACC",1.32071558236725,5.11581222677543,8.57059201807572,4.96491372058712,5.06974442425668,6.29221920498955,3.13467008572221,5.59891692906804,2.70123852805218,1.74549703046891,5.31534352269144,1.77726230319561,9.21245504315079,4.26332742350537
"TCGA.OR.A5JP.01A.11R.A29S.07","ACC",0.677823336155048,4.96161519524348,6.44788688692282,3.40400597596068,1.54413080747403,1.34974086737127,1.99021992646486,2.39516510308579,3.03451507167647,0.365735568372955,2.45993257066888,0.175089030567344,4.8633041593428,2.02651680306422
"TCGA.OR.A5JQ.01A.11R.A29S.07","ACC",3.32783272106028,5.07463187299904,8.08171015216342,6.28339399733591,6.00253136094906,6.72063611538763,2.28728776700755,6.0695428283092,4.27126878792385,2.24054393608643,5.78173853128852,2.83247773357709,9.01506095623941,4.30100957488114
"TCGA.OR.A5JC.01A.11R.A29S.07","ACC",1.39668716256023,4.45227401837418,6.90533651434663,5.06902742080728,2.25927103787651,2.41113675352763,2.31852043242833,4.52083838875317,3.31475452228112,0.355130464939053,4.39194344786649,1.50618721766932,6.28488423535779,2.74957717246
"TCGA.OR.A5JV.01A.11R.A29S.07","ACC",1.47783678395666,2.40683518282461,10.4408259430124,5.08647012421466,4.84556279407523,4.9077583688902,5.75667832247772,4.34123562154863,3.58208626789781,2.06678381053622,2.01164946746413,1.36066507004428,10.5055652626715,3.57330180812939
"TCGA.OR.A5KV.01A.11R.A29S.07","ACC",0.835490715081073,2.22767218613082,5.4240668025766,1.67581473276144,1.42666385527698,4.69034441828821,1.42368449522125,1.95572127115475,7.63098274270661,0.881053539418953,2.94750413317356,0.156871650673581,3.96853317213742,3.56050709360537
"TCGA.PK.A5H9.01A.11R.A29S.07","ACC",0.689057422022707,5.3172986841708,7.62520208058384,5.6044132850711,3.43294276552926,4.2207653774955,3.51543605308908,4.60994192140809,2.64424854946735,1.43979467351449,6.1653366044079,2.6600111773338,7.85800649080603,2.46892212158475
"TCGA.OR.A5JG.01A.11R.A29S.07","ACC",0.453843751015482,3.74167773126493,7.60374550472077,3.60965167727463,1.53153931989616,1.80901895247346,2.20747897389022,2.71788052065911,3.68852727999268,0.510871124400895,2.76497950969209,0,5.94785781774129,0.620492573576441
"TCGA.OR.A5J9.01A.11R.A29S.07","ACC",0.483794296695072,0.920407145295173,5.01486239710327,2.21829159654996,2.15744850880226,3.17990745626611,2.38395266121063,3.60007026706839,2.77418614091842,1.14181917533481,0.831769320430179,0.249487077668012,5.78285147560665,1.60402386581459
"TCGA.OR.A5LO.01A.11R.A29S.07","ACC",0.476667829490432,2.08227620901343,4.52873459555886,3.56123142257682,1.38310310933261,1.96083242604613,1.29726093998392,2.37683161658824,3.47759962196958,0.817550983277564,2.05309698906613,0.323887701002923,3.99065540204741,2.2762882116694
"TCGA.OR.A5LM.01A.11R.A29S.07","ACC",1.16385411068689,2.53504312534918,7.0267874987865,3.62308632554507,1.31982502399005,2.62610424986524,2.28056853730071,2.64220800881857,1.50131174924366,0.832787520126806,2.04488700984983,1.31533245984064,6.10511860666116,1.13796249006763
"TCGA.OR.A5JT.01A.11R.A29S.07","ACC",0.798992775785583,1.93907313968237,7.00613712753958,2.89486278976531,2.05636510156643,2.72796361648876,2.4323286385195,3.4978663780286,2.40261304298717,1.19187902189659,3.01783260177738,1.71717115558676,6.1032542325731,1.75223478061964
"TCGA.OU.A5PI.01A.12R.A29S.07","ACC",0.0723173830660474,2.21706304389861,5.97982244302596,3.89959334049473,1.84160856249383,3.37084056828137,2.54796227864503,2.84328558885904,2.74811769328557,1.05694681895931,1.58082580777328,0.433904298396285,6.10527787899007,0.650856447594427
